lag_2,lag_1,y
159.10000610351562,158.0155029296875,155.48899841308594
158.0155029296875,155.48899841308594,152.83299255371094
155.48899841308594,152.83299255371094,154.5625
152.83299255371094,154.5625,153.64999389648438
154.5625,153.64999389648438,155.9665069580078
153.64999389648438,155.9665069580078,158.1219940185547
155.9665069580078,158.1219940185547,161.79800415039062
158.1219940185547,161.79800415039062,162.36549377441406
161.79800415039062,162.36549377441406,165.1804962158203
162.36549377441406,165.1804962158203,166.22500610351562
165.1804962158203,166.22500610351562,168.61000061035156
166.22500610351562,168.61000061035156,169.7519989013672
168.61000061035156,169.7519989013672,171.60000610351562
169.7519989013672,171.60000610351562,170.2064971923828
171.60000610351562,170.2064971923828,169.85000610351562
170.2064971923828,169.85000610351562,170.33999633789062
169.85000610351562,170.33999633789062,171.79649353027344
170.33999633789062,171.79649353027344,169.14950561523438
171.79649353027344,169.14950561523438,168.14300537109375
169.14950561523438,168.14300537109375,168.64349365234375
168.14300537109375,168.64349365234375,168.75
168.64349365234375,168.75,171.42250061035156
168.75,171.42250061035156,173
171.42250061035156,173,174.49400329589844
173,174.49400329589844,175.72250366210938
174.49400329589844,175.72250366210938,177.6999969482422
175.72250366210938,177.6999969482422,174.33250427246094
177.6999969482422,174.33250427246094,168.3990020751953
174.33250427246094,168.3990020751953,167.73500061035156
168.3990020751953,167.73500061035156,165.72000122070312
167.73500061035156,165.72000122070312,166.54449462890625
165.72000122070312,166.54449462890625,164.14999389648438
166.54449462890625,164.14999389648438,161.89999389648438
164.14999389648438,161.89999389648438,160.39700317382812
161.89999389648438,160.39700317382812,160.19200134277344
160.39700317382812,160.19200134277344,161.4429931640625
160.19200134277344,161.4429931640625,164.6374969482422
161.4429931640625,164.6374969482422,165.60000610351562
164.6374969482422,165.60000610351562,161.7375030517578
165.60000610351562,161.7375030517578,162.98399353027344
161.7375030517578,162.98399353027344,162.83450317382812
162.98399353027344,162.83450317382812,162.8975067138672
162.83450317382812,162.8975067138672,163.99099731445312
162.8975067138672,163.99099731445312,164.7864990234375
163.99099731445312,164.7864990234375,163.01800537109375
164.7864990234375,163.01800537109375,162.39950561523438
163.01800537109375,162.39950561523438,162.5489959716797
162.39950561523438,162.5489959716797,161.75
162.5489959716797,161.75,160.7220001220703
161.75,160.7220001220703,161.0500030517578
160.7220001220703,161.0500030517578,160.39999389648438
161.0500030517578,160.39999389648438,163.97650146484375
160.39999389648438,163.97650146484375,164.87899780273438
163.97650146484375,164.87899780273438,167.5500030517578
164.87899780273438,167.5500030517578,168.32899475097656
167.5500030517578,168.32899475097656,169.25
168.32899475097656,169.25,169.84950256347656
169.25,169.84950256347656,171.3175048828125
169.84950256347656,171.3175048828125,174.86000061035156
171.3175048828125,174.86000061035156,175.35000610351562
174.86000061035156,175.35000610351562,174.10000610351562
175.35000610351562,174.10000610351562,176.18899536132812
174.10000610351562,176.18899536132812,176.0500030517578
176.18899536132812,176.0500030517578,176.2429962158203
176.0500030517578,176.2429962158203,173.24099731445312
176.2429962158203,173.24099731445312,172.39999389648438
173.24099731445312,172.39999389648438,172.80149841308594
172.39999389648438,172.80149841308594,173.5800018310547
172.80149841308594,173.5800018310547,172.85000610351562
173.5800018310547,172.85000610351562,175.58599853515625
172.85000610351562,175.58599853515625,184.2740020751953
175.58599853515625,184.2740020751953,186.7100067138672
184.2740020751953,186.7100067138672,187.9994964599609
186.7100067138672,187.9994964599609,187.3999938964844
187.9994964599609,187.3999938964844,187.864502
187.3999938964844,187.864502,188.6540069580078
187.864502,188.6540069580078,185.88299560546875
188.6540069580078,185.88299560546875,184.7700042724609
185.88299560546875,184.7700042724609,182.3029937744141
184.7700042724609,182.3029937744141,177.510498
182.3029937744141,177.510498,179.60000610351562
177.510498,179.60000610351562,179.32249450683594
179.60000610351562,179.32249450683594,182.00100708007807
179.32249450683594,182.00100708007807,183.3054962158203
182.00100708007807,183.3054962158203,185.6040039
183.3054962158203,185.6040039,184.9250030517578
185.6040039,184.9250030517578,182.92100524902344
184.9250030517578,182.92100524902344,181.8975067138672
182.92100524902344,181.8975067138672,168.40699768066406
181.8975067138672,168.40699768066406,167.9459991455078
168.40699768066406,167.9459991455078,169.5500030517578
167.9459991455078,169.5500030517578,169.44400024414062
169.5500030517578,169.44400024414062,169.4499969482422
169.44400024414062,169.4499969482422,168.75
169.4499969482422,168.75,167.74400329589844
168.75,167.74400329589844,167.89999389648438
167.74400329589844,167.89999389648438,166.88499450683594
167.89999389648438,166.88499450683594,165.72549438476562
166.88499450683594,165.72549438476562,165.30349731445312
165.72549438476562,165.30349731445312,165
