lag_2,lag_1,y
4.478125095367432,4.574999809265137,3.756249904632568
4.574999809265137,3.756249904632568,3.634375095367432
3.756249904632568,3.634375095367432,3.525000095367432
3.634375095367432,3.525000095367432,3.631249904632568
3.525000095367432,3.631249904632568,3.5
3.631249904632568,3.5,3.400000095367432
3.5,3.400000095367432,3.359375
3.400000095367432,3.359375,3.431250095367432
3.359375,3.431250095367432,3.259375095367432
3.431250095367432,3.259375095367432,3.375
3.259375095367432,3.375,3.3499999046325684
3.375,3.3499999046325684,3.231250047683716
3.3499999046325684,3.231250047683716,3.668750047683716
3.231250047683716,3.668750047683716,3.5625
3.668750047683716,3.5625,3.5
3.5625,3.5,3.387500047683716
3.5,3.387500047683716,3.321875095367432
3.387500047683716,3.321875095367432,3.237499952316284
3.321875095367432,3.237499952316284,3.53125
3.237499952316284,3.53125,3.612499952316284
3.53125,3.612499952316284,4.296875
3.612499952316284,4.296875,4.137499809265137
4.296875,4.137499809265137,3.84375
4.137499809265137,3.84375,4.199999809265137
3.84375,4.199999809265137,4.186718940734863
4.199999809265137,4.186718940734863,3.993750095367432
4.186718940734863,3.993750095367432,3.956249952316284
3.993750095367432,3.956249952316284,3.787499904632568
3.956249952316284,3.787499904632568,3.809375047683716
3.787499904632568,3.809375047683716,3.671875
3.809375047683716,3.671875,3.565624952316284
3.671875,3.565624952316284,3.450000047683716
3.565624952316284,3.450000047683716,3.325000047683716
3.450000047683716,3.325000047683716,3.587500095367432
3.325000047683716,3.587500095367432,3.5687499046325684
3.587500095367432,3.5687499046325684,3.46875
3.5687499046325684,3.46875,3.359375
3.46875,3.359375,3.4484379291534424
3.359375,3.4484379291534424,3.424999952316284
3.4484379291534424,3.424999952316284,3.25
3.424999952316284,3.25,3.237499952316284
3.25,3.237499952316284,3.362499952316284
3.237499952316284,3.362499952316284,3.290625095367432
3.362499952316284,3.290625095367432,3.237499952316284
3.290625095367432,3.237499952316284,3.450000047683716
3.237499952316284,3.450000047683716,3.426563024520874
3.450000047683716,3.426563024520874,3.331249952316284
3.426563024520874,3.331249952316284,3.346874952316284
3.331249952316284,3.346874952316284,3.2562499046325684
3.346874952316284,3.2562499046325684,3.3187499046325684
3.2562499046325684,3.3187499046325684,3.3187499046325684
3.3187499046325684,3.3187499046325684,3.2249999046325684
3.3187499046325684,3.2249999046325684,3.650000095367432
3.2249999046325684,3.650000095367432,3.700000047683716
3.650000095367432,3.700000047683716,3.546875
3.700000047683716,3.546875,3.762500047683716
3.546875,3.762500047683716,3.756249904632568
3.762500047683716,3.756249904632568,3.637500047683716
3.756249904632568,3.637500047683716,3.493750095367432
3.637500047683716,3.493750095367432,3.368750095367432
3.493750095367432,3.368750095367432,3.356250047683716
3.368750095367432,3.356250047683716,3.284374952316284
3.356250047683716,3.284374952316284,3.2718749046325684
3.284374952316284,3.2718749046325684,3.246875047683716
3.2718749046325684,3.246875047683716,3.275000095367432
3.246875047683716,3.275000095367432,3.431250095367432
3.275000095367432,3.431250095367432,3.421875
3.431250095367432,3.421875,3.299999952316284
3.421875,3.299999952316284,3.21875
3.299999952316284,3.21875,2.9375
3.21875,2.9375,2.618750095367432
2.9375,2.618750095367432,2.5999999046325684
2.618750095367432,2.5999999046325684,2.8125
2.5999999046325684,2.8125,2.765625
2.8125,2.765625,2.684375047683716
2.765625,2.684375047683716,2.578125
2.684375047683716,2.578125,2.706249952316284
2.578125,2.706249952316284,2.871875047683716
2.706249952316284,2.871875047683716,2.762500047683716
2.871875047683716,2.762500047683716,2.78125
2.762500047683716,2.78125,3.015625
2.78125,3.015625,3.0
3.015625,3.0,2.828125
3.0,2.828125,2.825000047683716
2.828125,2.825000047683716,2.931250095367432
2.825000047683716,2.931250095367432,2.962500095367432
2.931250095367432,2.962500095367432,2.887500047683716
2.962500095367432,2.887500047683716,2.768749952316284
2.887500047683716,2.768749952316284,2.7874999046325684
